name,from,title
Saifedean Ammous,Palestine,Economist
Ludwig von Mises,,Austrian Economist
Friedrich Hayek,,Austrian Economist
Carl Menger,,Founder of Austrian School
Satoshi Nakamoto,,Creator of Bitcoin
